"DetailModelName","PipeRef","SSC","Comment"
"Becton","36837905.1","SSC_SouthHackney_HL","PF"
"Becton","28852604.2","SSC_GospelOak","PF"
"Becton","29834703.1","SSC_CamdenTown","PF"
"Becton","30855905.1","SSC_HollowayRd","PF"
"Becton","31868410.2","SSC_BlackStockRD","PF"
"Becton","33867623.1","SSC_StokeNew_HL","PF"
"Becton","25828007.2","SSC_NorthWestern","PF"
"Becton","20840501.1","SSC_Acton_Outfall","PF"
"Becton","31867401.1","SSC_Highbury_HL","PF"
"Becton","25828002.1","SSC_Acton","PF"
"Becton","29832510.1","SSC_Primrose_ML2","PF"
"Becton","32844005.2","SSC_RotherfieldSt","PF"
"Becton","36836805.1","SSC_Wicklane_ML2","PF"
"Becton","26806720.1","SSC_Ranelagh","PF"
"Becton","21791701.1","SSC_ActonSR","PF"
"Becton","23784109.1","SSC_HammerSmithPS","PF"
"Becton","26775123.1","SSC_LotsRoadSP","PF"
"Becton","29810206.1","SSC_OxfordCircus","PF"
"Becton","29810203.1","SSC_RegentStreet","PF"
"Becton","29818318.2","SSC_NorthumberlandEast","PF"
"Becton","30830109.1","SSC_FleetMain","PF"
"Becton","31821016.2","SSC_Holborn","PF"
"Becton","33824304.1","SSC_Shoreditch_ML1","PF"
"Becton","34829730.1","SSC_Holloway_ML1","PF"
"Becton","36837809.1","SSC_Wicklane_ML1","PF"
"Becton","27796104.1","SSC_Trunk_LL1","PF"
"Becton","24796003.1","SSC_Queensdale","PF"
"Becton","30800539.1","SSC_Regent_LL2","PF"
"Becton","32809942.1","SSC_LondonBridge_LL2","PF"
"Becton","36815647.1","SSC_Limekiln_LL2","PF"
"Becton","28808110.1","SSC_KingsScholarPond","PF"
"Becton","28772802.3","SSC_RanelaghOutfall","PF"
"Becton","29807306.1","SSC_RegentStEast","PF"
"Becton","27771515.1","SSC_ChurchStreet","PF"
"Becton","28771802.1","SSC_SmithStreet","PF"
"Becton","29790107.2","SSC_Victoria","PF"
"Becton","29786344.1","SSC_KingsPond_Outfall","PF"
"Becton","29808426.1","SSC_CharingCross","PF"
"Becton","30792206.1","SSC_HorseFerryRd","PF"
"Becton","30803232.1","SSC_RegentStOutfall","PF"
"Becton","30800503.2","SSC_DuncammonSt","PF"
"Becton","30804203.1","SSC_Northumberland_Outfall","PF"
"Becton","30804203.1","SSC_SavoyOutfall","PF"
"Becton","31801706.1","SSC_EssexOutfall","PF"
"Becton","28788101.1","SSC_Western","PF"
"Becton","36883203.3","SSC_DagenhamBrook","PF"
"Becton","37866301.1","SSC_Leyton","PF"
"Becton","37832420.1","SSC_HackneyAbbey","PF"
"Becton","38839251.1","SSC_WestHam","PF"
"Becton","43835071.1","SSC_FolkestoneRoadPS","PF"
"Becton","44837071.1","SSC_RodingOutfall","PF"
"Becton","MANIFOLD1.2","SSC_HenleyRd","PF"
"Becton","Isle_of_Dogs_Overflow_Penstock.1","SSC_IsleOfDogs","PF"
"Becton","38824905.1","SSC_IsleOfDogs_LL1","PF"
"Becton","32803911.1","SSC_Fleet_ML1","PF"
"Becton","34807703.1","SSC_Nightingale_Outfalls","PF"
